Source,Target,Type,id,weight
Addam-Marbrand,Brynden-Tully,Directed,0,3
Addam-Marbrand,Cersei-Lannister,Undirected,1,3
Addam-Marbrand,Gyles-Rosby,Undirected,2,3
Addam-Marbrand,Jaime-Lannister,Undirected,3,14
Addam-Marbrand,Jalabhar-Xho,Undirected,4,3
Addam-Marbrand,Joffrey-Baratheon,Undirected,5,3
Addam-Marbrand,Kevan-Lannister,Undirected,6,3
Addam-Marbrand,Lyle-Crakehall,Directed,7,4
Addam-Marbrand,Oberyn-Martell,Undirected,8,3
Addam-Marbrand,Tyrion-Lannister,Undirected,9,7
Addam-Marbrand,Tywin-Lannister,Directed,10,6
Addam-Marbrand,Varys,Undirected,11,4
Aegon-Frey-(son-of-Stevron),Catelyn-Stark,Directed,12,4
