Source,Target,Weight
BARNARDO,BARNARDO,162
BARNARDO,HORATIO,20
BARNARDO,HAMLET,6
BARNARDO,FRANCISCO,36
FRANCISCO,FRANCISCO,53
FRANCISCO,BARNARDO,8
HORATIO,FRANCISCO,5
HORATIO,HORATIO,1135
HORATIO,BARNARDO,19
HORATIO,QUEEN,69
HORATIO,HAMLET,156
HORATIO,POLONIUS,7
HORATIO,OPHELIA,14
HORATIO,GHOST,8
MARCELLUS,MARCELLUS,225
MARCELLUS,FRANCISCO,9
MARCELLUS,CORNELIUS,3
MARCELLUS,OPHELIA,54
MARCELLUS,BARNARDO,82
MARCELLUS,HORATIO,65
KING,QUEEN,442
KING,LAERTES,35
KING,KING,255
CORNELIUS,CORNELIUS,11
LAERTES,LAERTES,170
LAERTES,POLONIUS,276
POLONIUS,POLONIUS,594
HAMLET,HAMLET,1677
HAMLET,QUEEN,6
HAMLET,HORATIO,77
HAMLET,ALL,21
HAMLET,BARNARDO,6
HAMLET,POLONIUS,226
QUEEN,QUEEN,77
ALL,ALL,22
OPHELIA,LAERTES,65
OPHELIA,OPHELIA,77
OPHELIA,POLONIUS,9
GHOST,HORATIO,3
GHOST,FRANCISCO,17
GHOST,ALL,14
GHOST,HAMLET,216
GHOST,OPHELIA,10
GHOST,GHOST,394
